TimeStamp_(ms),acc(_x_(g),acc_y_(g),acc_z_(g)
284.0,-0.05894,0.03983,1.01044
292.0,-0.05878,0.03937,1.00983
300.0,-0.05928,0.03929,1.00975
304.0,-0.05928,0.03929,1.00967
308.0,-0.05905,0.03899,1.00983
312.0,-0.05913,0.03899,1.01067
316.0,-0.05898,0.03944,1.01013
320.0,-0.05882,0.03914,1.00975
324.0,-0.0589,0.03952,1.00952
328.0,-0.05913,0.03906,1.00975
332.0,-0.0592,0.03975,1.01082
336.0,-0.05867,0.03975,1.01082
340.0,-0.05913,0.04005,1.01059
344.0,-0.0589,0.03922,1.00937
348.0,-0.05928,0.0396,1.0096
352.0,-0.0592,0.03983,1.01021
356.0,-0.0592,0.03952,1.01044
364.0,-0.05913,0.03983,1.01021
368.0,-0.0589,0.03922,1.01013
372.0,-0.05913,0.03937,1.00967
376.0,-0.05936,0.04013,1.00967
380.0,-0.05898,0.03983,1.01006
384.0,-0.05882,0.0396,1.01036
388.0,-0.05867,0.03967,1.01059
392.0,-0.05829,0.0399,1.01051
396.0,-0.05852,0.03998,1.01013
400.0,-0.05898,0.03929,1.00975
404.0,-0.05882,0.04013,1.0099
408.0,-0.05898,0.0396,1.01036
412.0,-0.05875,0.0399,1.01051
416.0,-0.05905,0.03944,1.01036
420.0,-0.05882,0.04013,1.01051
424.0,-0.05966,0.04059,1.01059
428.0,-0.05951,0.04005,1.0099
432.0,-0.05936,0.03975,1.00998
436.0,-0.05959,0.04028,1.01067
444.0,-0.05867,0.03952,1.01028
448.0,-0.05928,0.03929,1.00952
452.0,-0.0592,0.03937,1.00937
456.0,-0.05913,0.03975,1.00998
460.0,-0.0589,0.03967,1.01013
464.0,-0.05959,0.03998,1.01059
468.0,-0.05844,0.03922,1.01021
472.0,-0.05913,0.03929,1.00983
476.0,-0.0592,0.0396,1.01044
480.0,-0.05974,0.03944,1.0112
484.0,-0.05959,0.03998,1.01112
488.0,-0.0589,0.04005,1.0099
492.0,-0.05928,0.04021,1.00967
496.0,-0.05829,0.0396,1.00967
500.0,-0.05852,0.0399,1.00983
504.0,-0.05852,0.0399,1.01013
508.0,-0.05829,0.03944,1.01028
512.0,-0.05844,0.04005,1.01082
516.0,-0.05882,0.03952,1.01051
524.0,-0.05943,0.03906,1.00937
528.0,-0.05981,0.03975,1.01013
532.0,-0.05997,0.04013,1.01074
536.0,-0.05959,0.03967,1.01074
540.0,-0.05959,0.04013,1.01067
544.0,-0.05905,0.04036,1.01082
548.0,-0.05875,0.03944,1.01067
552.0,-0.05875,0.03868,1.01013
556.0,-0.05882,0.03975,1.01013
560.0,-0.06004,0.03937,1.01006
564.0,-0.05959,0.03967,1.01067
568.0,-0.05959,0.03975,1.01143
572.0,-0.05913,0.04044,1.01112
576.0,-0.05951,0.04028,1.00975
580.0,-0.05936,0.04021,1.00929
584.0,-0.05867,0.0396,1.00922
592.0,-0.05898,0.03983,1.01059
596.0,-0.05951,0.03952,1.01128
600.0,-0.05943,0.03975,1.01128
604.0,-0.05981,0.0399,1.01051
608.0,-0.05936,0.04021,1.00983
612.0,-0.05852,0.0396,1.00906
616.0,-0.05966,0.04051,1.00967
620.0,-0.05913,0.03967,1.01006
624.0,-0.05943,0.03998,1.01051
628.0,-0.05852,0.03929,1.01059
632.0,-0.0592,0.03975,1.01112
636.0,-0.05905,0.03998,1.01097
640.0,-0.0589,0.0396,1.01036
644.0,-0.05913,0.03944,1.00998
648.0,-0.05859,0.03922,1.00967
652.0,-0.0589,0.04013,1.01051
660.0,-0.05936,0.04021,1.0099
664.0,-0.0592,0.0396,1.00967
668.0,-0.05905,0.04013,1.01013
672.0,-0.05875,0.03929,1.01021
676.0,-0.05928,0.0396,1.01044
680.0,-0.05898,0.03975,1.01074
684.0,-0.05936,0.03853,1.01082
688.0,-0.05859,0.03929,1.00983
692.0,-0.05829,0.03922,1.00983
696.0,-0.05844,0.03868,1.01013
700.0,-0.05844,0.03899,1.01059
704.0,-0.05898,0.03983,1.01089
708.0,-0.05898,0.03944,1.00975
